,next_victim_is_yellow,condition_within_Ss,next_victim_triaged_distance,sat_tendency,remain_yellow_victim,time_elapsed_minutes,cur_room_yellow_victims,cur_room_green_victims,next_room_has_yellow_victim,condition_between_Ss,trial_id
59,False,hard mission Falcon,17.254424896909484,4.4,2.0,6.196183333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
60,False,hard mission Falcon,8.020610987687222,4.4,2.0,6.260816666666667,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
61,False,hard mission Falcon,2.008985583161287,4.4,2.0,6.412116666666667,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
62,False,hard mission Falcon,20.13348320111555,4.4,2.0,6.461516666666666,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
63,False,hard mission Falcon,9.827786042037596,4.4,2.0,6.541433333333333,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
64,False,hard mission Falcon,3.114261286527181,4.4,2.0,6.690916666666666,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
65,False,hard mission Falcon,3.3187009779367918,4.4,2.0,6.83875,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
66,False,hard mission Falcon,13.107515578883573,4.4,2.0,6.886433333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
67,False,hard mission Falcon,10.566862038760938,4.4,2.0,6.9222166666666665,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
68,False,hard mission Falcon,10.586730023923943,4.4,2.0,6.9409833333333335,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
69,False,hard mission Falcon,6.72478559521402,4.4,2.0,7.03285,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
70,False,hard mission Falcon,2.01019978679476,4.4,2.0,7.20455,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
71,False,hard mission Falcon,15.993316877786427,4.4,2.0,7.259066666666667,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
72,False,hard mission Falcon,6.638512154361562,4.4,2.0,7.34775,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
73,False,hard mission Falcon,1.087003352508726,4.4,2.0,7.4955,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
74,False,hard mission Falcon,2.345454015535965,4.4,2.0,7.63645,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
75,False,hard mission Falcon,19.784097039871476,4.4,2.0,7.692616666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
76,False,hard mission Falcon,15.810484025633354,4.4,2.0,7.7147,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
77,False,hard mission Falcon,1.5638420514449052,4.4,2.0,7.8200666666666665,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
78,False,hard mission Falcon,4.324863584134656,4.4,2.0,7.9884,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
79,False,hard mission Falcon,3.6576109446774843,4.4,2.0,8.161583333333333,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
80,False,hard mission Falcon,14.897325728443253,4.4,2.0,8.217783333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
81,False,hard mission Falcon,19.424709054541616,4.4,2.0,8.2348,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
82,False,hard mission Falcon,17.614503027390008,4.4,2.0,8.290983333333333,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
83,False,hard mission Falcon,2.734553224520083,4.4,2.0,8.5134,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
84,False,hard mission Falcon,20.462890689637604,4.4,2.0,8.571383333333333,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
85,False,hard mission Falcon,6.784544020753237,4.4,2.0,8.685866666666668,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
86,False,hard mission Falcon,1.7182104691286466,4.4,2.0,8.830816666666667,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
87,False,hard mission Falcon,32.59899506470655,4.4,2.0,8.871583333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
88,False,hard mission Falcon,8.18176585996371,4.4,2.0,8.9787,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
89,False,hard mission Falcon,1.9379108256533149,4.4,2.0,9.1265,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
90,False,hard mission Falcon,2.796867256640142,4.4,2.0,9.286333333333333,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
91,False,hard mission Falcon,38.12247811583108,4.4,2.0,9.344133333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
92,False,hard mission Falcon,32.7375893244536,4.4,2.0,9.3901,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
93,False,hard mission Falcon,11.054047373195612,4.4,2.0,9.456383333333333,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
94,False,hard mission Falcon,6.8502393878809285,4.4,2.0,9.4955,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
95,False,hard mission Falcon,3.8916158866269632,4.4,2.0,9.6314,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
96,False,hard mission Falcon,,4.4,2.0,9.660316666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
97,False,hard mission Falcon,,4.4,2.0,9.714733333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
98,False,hard mission Falcon,,4.4,2.0,9.721533333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
99,False,hard mission Falcon,,4.4,2.0,9.775933333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
100,False,hard mission Falcon,,4.4,2.0,9.910666666666666,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
101,False,hard mission Falcon,,4.4,2.0,9.977,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
102,False,hard mission Falcon,,4.4,2.0,9.992366666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
103,False,hard mission Falcon,,4.4,2.0,10.570766666666668,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
104,False,hard mission Falcon,,4.4,2.0,10.618366666666667,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
105,False,hard mission Falcon,,4.4,2.0,10.688,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
106,False,hard mission Falcon,,4.4,2.0,10.6948,0.0,2.0,False,trained about triage tradeoff,trial_id_000011
